cityId	cityName	latitude	longitude	population	countryCode	continent
3844899	Marcos Juárez	-32.6978	-62.10672	24226	AR	America/Argentina/Cordoba
3845330	Machagai	-26.92614	-60.04955	28070	AR	America/Argentina/Cordoba
3846864	Lincoln	-34.86649	-61.5302	41808	AR	America/Argentina/Buenos_Aires
3846915	Libertador General San Martín	-23.80644	-64.78757	49267	AR	America/Argentina/Jujuy
3848687	Las Breñas	-27.08966	-61.08161	26955	AR	America/Argentina/Cordoba
3848950	La Rioja	-29.41105	-66.85067	162620	AR	America/Argentina/La_Rioja
3851331	La Falda	-31.08841	-64.48987	15112	AR	America/Argentina/Cordoba
3852374	La Calera	-31.34377	-64.33529	24796	AR	America/Argentina/Cordoba
3852468	Laboulaye	-34.12662	-63.39119	19908	AR	America/Argentina/Cordoba
3853354	Junín	-34.58382	-60.94332	85007	AR	America/Argentina/Buenos_Aires
3853491	Joaquín V. González	-25.11364	-64.12628	19185	AR	America/Argentina/Salta
3853510	Jesús María	-30.98153	-64.09424	26825	AR	America/Argentina/Cordoba
3854895	Granadero Baigorria	-32.85683	-60.71754	32427	AR	America/Argentina/Cordoba
3854985	Gobernador Gálvez	-33.03016	-60.64045	74650	AR	America/Argentina/Cordoba
3855041	General Villegas	-35.03285	-63.01252	16270	AR	America/Argentina/Buenos_Aires
3855065	General Roca	-39.03333	-67.58333	73212	AR	America/Argentina/Salta
3855074	General Pinedo	-27.31667	-61.28333	15741	AR	America/Argentina/Cordoba
3855075	General Pico	-35.65662	-63.75682	57029	AR	America/Argentina/Salta
3855116	General Enrique Mosconi	-22.59588	-63.81255	19811	AR	America/Argentina/Salta
3855244	Gálvez	-32.02927	-61.22103	18374	AR	America/Argentina/Cordoba
3855554	Firmat	-33.45937	-61.4832	18294	AR	America/Argentina/Cordoba
3855666	Famaillá	-27.05413	-65.40329	30951	AR	America/Argentina/Tucuman
3855974	Esquel	-42.91147	-71.31947	28486	AR	America/Argentina/Catamarca
3856022	Esperanza	-31.4488	-60.93173	35885	AR	America/Argentina/Cordoba
3856231	Embarcación	-23.21003	-64.09965	23961	AR	America/Argentina/Salta
3856235	Embalse	-32.18	-64.41809	15900	AR	America/Argentina/Cordoba
3858765	El Bolsón	-41.96051	-71.53336	15537	AR	America/Argentina/Salta
3859384	Diamante	-32.06641	-60.63837	19545	AR	America/Argentina/Cordoba
3859512	Deán Funes	-30.42036	-64.34984	20164	AR	America/Argentina/Cordoba
3859552	Cutral-Có	-38.93424	-69.23052	47380	AR	America/Argentina/Salta
3859828	Cruz del Eje	-30.72644	-64.80387	28166	AR	America/Argentina/Cordoba
3859904	Crespo	-32.02873	-60.30658	18296	AR	America/Argentina/Cordoba
3859965	Cosquín	-31.24508	-64.46563	19070	AR	America/Argentina/Cordoba
3860164	Coronel Suárez	-37.45467	-61.93343	27000	AR	America/Argentina/Buenos_Aires
3860217	Coronda	-31.97263	-60.91983	16975	AR	America/Argentina/Cordoba
3860259	Córdoba	-31.4135	-64.18105	1428214	AR	America/Argentina/Cordoba
3860443	Comodoro Rivadavia	-45.86413	-67.49656	140850	AR	America/Argentina/Catamarca
3861056	Cipolletti	-38.93392	-67.99032	75078	AR	America/Argentina/Salta
3861061	Cinco Saltos	-38.82225	-68.06293	19819	AR	America/Argentina/Salta
3861344	Chivilcoy	-34.89566	-60.01667	54514	AR	America/Argentina/Buenos_Aires
3861416	Chimbas	-31.48333	-68.53333	73829	AR	America/Argentina/San_Juan
3861445	Chilecito	-29.16195	-67.4974	42248	AR	America/Argentina/La_Rioja
3861678	Charata	-27.21438	-61.18795	27813	AR	America/Argentina/Cordoba
3861953	Chacabuco	-34.64167	-60.47389	34587	AR	America/Argentina/Buenos_Aires
3862144	Centenario	-38.82955	-68.1318	28956	AR	America/Argentina/Salta
3862240	Caucete	-31.65179	-68.28105	33609	AR	America/Argentina/San_Juan
3862254	Catriel	-37.87907	-67.7956	15169	AR	America/Argentina/Salta
3862320	Castelli	-25.94679	-60.61947	36588	AR	America/Argentina/Cordoba
